Wall time,Step,Value
1753439182.2097325,2048,-121546.921875
1753439184.2705207,4096,-119745.59375
1753439186.3923578,6144,-123733.8203125
1753439188.6565514,8192,-127185.1171875
1753439190.9016018,10240,-131770.890625
1753439192.9940963,12288,-134758.0625
1753439195.1561186,14336,-136227.03125
1753439197.2830262,16384,-137921.875
1753439199.678162,18432,-140153.703125
1753439201.8698862,20480,-142491.546875
1753439204.0118525,22528,-148808.234375
1753439206.2707787,24576,-148732.875
1753439208.5501812,26624,-150181.40625
1753439210.7758772,28672,-148713.4375
1753439213.099558,30720,-147454.265625
1753439215.2773118,32768,-147066.4375
1753439217.5975056,34816,-146010.90625
1753439220.022599,36864,-145213.1875
1753439222.2309365,38912,-143561.421875
1753439224.5201807,40960,-139191.953125
1753439226.6093576,43008,-139770.1875
1753439228.8338344,45056,-137503.375
1753439231.1255035,47104,-140463.59375
1753439233.367623,49152,-145652.875
1753439235.740436,51200,-144910.796875
1753439237.8400064,53248,-142245.3125
1753439240.230416,55296,-140292.703125
1753439242.6228049,57344,-143815.578125
1753439245.4068234,59392,-145005.5625
1753439247.8646429,61440,-149199.953125
1753439250.7594087,63488,-148751.25
1753439252.637582,65536,-144452.5
1753439254.5372975,67584,-142904.296875
1753439256.4846916,69632,-142146.546875
1753439258.4506693,71680,-142620.6875
1753439260.6506016,73728,-139959.59375
1753439262.5944886,75776,-138609.484375
1753439264.5599222,77824,-132611.296875
1753439266.523029,79872,-132942.15625
1753439268.751145,81920,-134095.375
1753439271.0664577,83968,-133732.015625
1753439273.163267,86016,-136148.46875
1753439275.1512687,88064,-132764.421875
1753439277.3509347,90112,-134708.03125
1753439279.5203323,92160,-135762.703125
1753439281.748318,94208,-138110.3125
1753439283.8932111,96256,-138896.625
1753439286.0451653,98304,-140629.0625
1753439288.237418,100352,-141122.09375
1753439290.2908776,102400,-142040.0625
1753439292.4037898,104448,-140429.515625
1753439294.4928381,106496,-139828.453125
1753439296.6627996,108544,-138488.796875
1753439299.0047755,110592,-138455.796875
1753439300.8634877,112640,-134579.8125
1753439302.8656423,114688,-133780.296875
1753439304.710947,116736,-135524.453125
1753439306.594087,118784,-135500.453125
1753439308.5743313,120832,-134573.90625
1753439310.7187448,122880,-134376.765625
1753439312.7325628,124928,-135920.453125
1753439314.8035374,126976,-133922.015625
1753439316.9854178,129024,-137033.625
1753439319.2478487,131072,-138391.578125
1753439321.0931766,133120,-135584.625
1753439323.088874,135168,-137044.734375
