Wall time,Step,Value
1753365481.659798,2048,-2282.31005859375
1753365483.4697673,4096,-2225.239990234375
1753365485.322984,6144,-2246.179931640625
1753365487.1755261,8192,-2066.320068359375
1753365489.0205228,10240,-2229.56005859375
1753365490.9006476,12288,-2101.330078125
1753365492.748973,14336,-2236.530029296875
1753365494.5978994,16384,-2061.010009765625
1753365496.5065372,18432,-2086.81005859375
1753365498.4652555,20480,-2207.889892578125
1753365500.3449802,22528,-2239.260009765625
1753365502.29731,24576,-1998.4000244140625
1753365504.1876743,26624,-2251.56005859375
1753365506.1835601,28672,-2103.840087890625
1753365508.3695555,30720,-2122.6201171875
1753365510.426571,32768,-2232.469970703125
1753365512.669269,34816,-2141.280029296875
1753365514.8815637,36864,-2283.860107421875
1753365517.0723946,38912,-2120.489990234375
1753365519.1949823,40960,-2192.2099609375
1753365521.2505665,43008,-2194.780029296875
1753365523.3748057,45056,-2105.919921875
1753365525.5671482,47104,-2158.330078125
1753365527.6657035,49152,-1976.3599853515625
1753365529.7671247,51200,-2093.469970703125
1753365531.8065488,53248,-2058.719970703125
1753365533.8923843,55296,-2112.280029296875
1753365535.920545,57344,-2163.3701171875
1753365537.9664571,59392,-2074.550048828125
1753365539.9271529,61440,-2214.3798828125
1753365542.0622334,63488,-2141.550048828125
1753365544.379977,65536,-2070.60009765625
1753365546.8438134,67584,-2055.5400390625
1753365549.1147864,69632,-2078.1298828125
1753365551.4470475,71680,-2043.3800048828125
1753365553.3723757,73728,-2103.89990234375
1753365555.1695192,75776,-2060.25
1753365557.0148592,77824,-2085.889892578125
1753365559.1705956,79872,-2162.659912109375
1753365561.2735171,81920,-2078.47998046875
1753365563.0879302,83968,-2076.10009765625
1753365565.016365,86016,-2030.27001953125
1753365567.1851003,88064,-2038.6600341796875
1753365570.6122935,90112,-1996.510009765625
1753365572.7032015,92160,-1942.800048828125
1753365574.7824326,94208,-1940.5400390625
1753365577.2082272,96256,-2027.27001953125
1753365579.6210015,98304,-2025.7900390625
1753365581.8587136,100352,-2049.3798828125
1753365584.022114,102400,-1864.0400390625
1753365586.184029,104448,-1921.5799560546875
1753365588.3517103,106496,-1868.1700439453125
1753365590.4638677,108544,-1918.81005859375
1753365592.5983539,110592,-1857.6400146484375
1753365594.7059464,112640,-1857.2900390625
1753365596.94143,114688,-1771.260009765625
1753365599.336557,116736,-1873.949951171875
1753365601.5138848,118784,-1776.280029296875
1753365603.8075356,120832,-1535.989990234375
1753365605.906885,122880,-1527.239990234375
1753365608.0619423,124928,-1383.8399658203125
1753365610.2600648,126976,-1349.989990234375
1753365612.4750066,129024,-1264.3499755859375
1753365614.7668462,131072,-1208.010009765625
1753365616.8893554,133120,-1178.510009765625
1753365619.0657804,135168,-1121.1400146484375
1753365621.2311149,137216,-1114.5
1753365623.4055364,139264,-1102.260009765625
1753365625.5984113,141312,-1074.1600341796875
1753365627.9161913,143360,-1094.239990234375
1753365630.0309048,145408,-1067.489990234375
1753365632.3307242,147456,-1066.52001953125
1753365634.6161163,149504,-1059.050048828125
1753365636.8932157,151552,-1064.1600341796875
1753365639.9281275,153600,-1054.43994140625
1753365642.2329535,155648,-1057.8699951171875
1753365644.3549347,157696,-1057.6400146484375
1753365646.4247334,159744,-1062.260009765625
1753365648.5083761,161792,-1055.77001953125
1753365650.5666993,163840,-1058.469970703125
1753365652.566141,165888,-1048.5699462890625
1753365654.697339,167936,-1042.1300048828125
